zcta5,obesity_pct,physical_inactivity_pct,totalpopulation,totalpop18plus
60463,27.0,19.6,14048,11541
60464,26.3,19.3,9982,8283
60465,29.3,21.8,18530,14739
60466,40.3,28.3,21904,16889
60467,26.7,18.3,26098,21140
60468,38.9,24.9,6112,4827
60469,34.1,28.0,5469,4081
60470,36.9,23.4,580,448
60471,37.6,23.5,13155,10248
60472,42.9,33.9,4671,3646
60473,38.0,27.0,21661,16950
60474,38.0,25.8,824,658
60475,40.3,29.9,9969,7812
60476,31.0,21.2,2388,1909
60477,28.4,19.3,37335,30430
60478,38.2,25.8,16893,12569
60479,35.8,22.9,685,516
60480,28.2,19.2,5272,4336
60481,39.5,25.9,11518,9402
60482,32.6,25.3,11216,8811
60484,48.3,30.1,6761,4907
60487,29.8,18.3,26388,20458
60490,34.6,21.0,21907,16118
60491,36.0,21.5,22999,18091
60501,34.8,32.2,11746,8583
60502,28.7,17.9,22592,16721
60503,34.7,18.1,16855,11648
60504,31.1,19.7,38901,28811
60505,41.5,34.3,57906,41407
60506,38.1,27.2,52011,39232
60510,32.2,17.0,28156,21420
60511,34.1,19.6,1721,1335
60512,39.4,19.9,1165,934
60513,28.5,18.4,19514,14921
60514,28.6,15.3,10320,7511
60515,29.3,16.4,29278,22731
60516,29.3,17.8,28694,22930
60517,30.7,19.4,33276,25950
60518,37.6,24.4,3325,2639
60519,29.9,14.1,76,51
60520,36.3,22.7,2773,2128
60521,25.8,13.6,18199,12965
60523,25.4,20.8,10347,8681
60525,26.9,17.0,32613,25080
60526,25.5,16.1,13810,10509
60527,28.5,19.0,29139,23672
60530,36.5,22.0,577,448
60531,37.4,23.3,1879,1437
60532,28.6,16.9,28766,23455
60534,32.4,26.0,10749,8430
60536,37.4,17.7,80,64
60537,37.4,19.8,627,474
60538,40.0,22.7,28898,20596
60539,29.1,14.9,275,112
60540,26.5,14.8,44201,33994
60541,38.7,19.0,3061,2299
60542,33.5,20.1,18540,14726
60543,38.6,18.1,40299,29091
60544,36.2,22.5,27680,21011
60545,41.5,21.6,13888,10020
60546,28.5,19.1,16819,12795
60548,35.9,22.5,12019,9480
60549,35.5,22.8,666,538
60550,34.3,22.5,1293,1009
60551,38.6,21.8,5006,4332
60552,35.4,20.8,4339,3336
60553,37.4,22.5,703,540
60554,32.2,17.2,12049,9384
60555,32.2,20.4,13909,10717
60556,35.0,21.2,1956,1482
60557,35.5,23.2,122,90
60558,24.1,12.2,13629,9617
60559,29.3,18.5,24363,19494
60560,39.3,18.5,27185,19683
60561,28.8,19.1,23139,18862
60563,27.2,16.5,37997,29479
60564,30.0,17.7,45616,33227
60565,28.5,15.8,40300,30320
60585,34.2,17.4,24920,17325
60586,38.6,21.8,47212,34337
60601,22.2,13.1,15814,14747
60602,23.5,14.8,1261,1150
60603,24.8,17.4,1288,1208
60604,24.4,15.9,897,847
60605,23.2,12.7,34071,31111
60606,22.1,10.6,3797,3624
60607,23.4,14.0,31816,28098
60608,32.0,27.8,75770,62115
60609,37.0,34.4,65770,48039
60610,25.2,14.1,43794,39943
60611,22.6,12.4,38456,36018
60612,35.8,25.2,34402,27061
60613,25.2,13.3,53048,46747
60614,23.1,11.4,73173,63091
60615,33.0,21.5,43502,36476
60616,26.3,25.0,54013,45964
60617,39.6,33.3,77270,59583
60618,28.6,19.4,90316,71851
60619,42.8,31.3,63303,50844
60620,42.7,32.9,66514,52318
60621,46.2,38.3,29570,21967
60622,26.2,14.1,55075,47265
60623,40.0,37.3,87649,62811
60624,46.6,39.1,37547,27465
60625,28.3,21.4,76525,61622
60626,31.6,21.8,50548,43374
60628,42.3,32.5,62832,49046
60629,36.8,33.0,114453,83340
60630,27.8,20.7,54064,43464
60631,26.6,17.7,29691,23449
60632,34.2,33.6,92237,67049
60633,36.3,30.0,13359,10254
60634,30.2,24.0,75694,60436
60636,44.9,39.0,34800,25718
60637,38.8,29.1,53555,41154
60638,31.1,24.5,56928,43973
60639,36.5,33.6,89543,66574
60640,29.2,19.4,65941,58680
60641,31.4,24.8,69354,54623
60642,25.1,12.5,21687,19453
60643,35.9,24.1,47831,37828
60644,45.4,37.3,47239,35830
60645,30.2,24.7,48356,36081
60646,25.6,17.7,28383,22097
60647,28.1,17.5,85631,71340
60649,44.1,32.7,48171,38141
60651,41.1,35.6,62819,47963
60652,37.1,29.5,40898,31213
60653,42.2,30.5,33146,25598
60654,22.8,10.0,23890,22630
60655,28.2,16.7,27837,21082
60656,27.4,19.5,28474,22862
60657,22.8,10.8,72316,64123
60659,27.4,25.9,40579,30665
60660,28.3,19.6,42534,37674
60661,20.6,10.1,11987,11292
60706,27.7,21.9,24327,19834
60707,30.9,23.7,43241,34571
60712,22.0,19.6,13463,10736
60714,25.3,22.5,31006,25835
60803,32.9,24.5,22189,17431
60804,35.5,33.5,85673,62152
60805,30.4,19.1,19945,15211
60827,45.4,34.8,24936,17937
60901,44.1,30.1,33628,25498
60910,37.5,20.7,524,423
60911,40.4,25.3,1257,965
60912,41.2,26.9,511,404
60913,37.8,22.3,1472,1197
60914,36.9,21.3,28894,22171
60915,41.2,27.1,10128,7853
60917,37.6,22.2,515,402
60918,39.5,25.0,803,640
60919,37.8,25.2,481,366
60920,36.3,25.5,149,107
60921,37.7,26.3,1506,1095
60922,37.4,21.1,2186,1703
60924,37.2,23.0,1519,1186
60927,37.2,21.6,2226,1711
60928,39.9,26.1,632,518
60929,36.7,25.4,638,508
60930,39.2,27.5,876,684
60931,41.9,26.6,572,427
60932,44.2,28.1,90,61
60933,37.6,24.4,282,225
60934,37.5,25.0,248,185
60935,37.8,22.5,1114,837
60936,38.2,28.6,4315,3389
60938,40.1,28.0,2080,1563
60940,39.1,24.5,3246,2552
60941,36.2,20.6,1927,1480
60942,42.2,29.1,5731,4452
60945,42.2,27.7,133,114
60946,38.6,25.6,351,277
60948,40.1,25.8,1492,1173
60949,34.0,22.0,501,375
60950,36.4,21.5,11996,9414
