zcta5,obesity_pct,physical_inactivity_pct,totalpopulation,totalpop18plus,gym_count,gyms_per_10000_adults
48910,38.4,24.7,33702,26910,0.0,0.0
48911,41.0,28.4,40566,30283,0.0,0.0
48912,37.4,23.6,17155,14121,0.0,0.0
48915,40.8,26.4,9176,7006,0.0,0.0
48917,38.0,23.5,32679,26653,0.0,0.0
48933,40.2,26.5,2467,2154,0.0,0.0
49001,44.1,29.8,21730,16110,0.0,0.0
49002,36.4,21.4,19553,15461,0.0,0.0
49004,39.8,24.7,16358,12712,0.0,0.0
49006,37.9,25.2,25119,21241,0.0,0.0
49007,47.6,33.4,10353,8114,0.0,0.0
49008,37.4,23.2,18343,15315,0.0,0.0
49009,36.2,21.5,47188,36518,0.0,0.0
49010,37.5,27.1,18183,14029,0.0,0.0
49011,40.8,25.8,2147,1659,0.0,0.0
49012,35.5,19.1,3477,2789,0.0,0.0
49013,42.1,32.6,5175,3857,0.0,0.0
49014,42.8,27.9,21505,16696,0.0,0.0
49015,40.8,27.1,28008,21426,0.0,0.0
49017,43.0,27.9,21377,16695,0.0,0.0
49021,39.4,25.7,6136,4759,0.0,0.0
49022,48.4,38.4,30143,22342,0.0,0.0
49024,35.2,20.1,30332,23350,0.0,0.0
49026,41.2,31.1,2170,1713,0.0,0.0
49027,41.5,32.2,171,129,0.0,0.0
49028,36.1,28.3,6129,4514,0.0,0.0
49029,40.6,25.2,1724,1312,0.0,0.0
49030,37.5,25.8,2711,1875,0.0,0.0
49031,37.3,27.7,7728,6166,0.0,0.0
49032,37.6,25.2,3033,2256,0.0,0.0
49033,39.6,23.3,1763,1421,0.0,0.0
49034,38.4,25.0,2313,1841,0.0,0.0
49036,36.4,28.6,24632,19137,0.0,0.0
49037,47.1,33.7,21427,16084,0.0,0.0
49038,38.7,27.9,8979,7198,0.0,0.0
49040,37.6,27.5,3404,2621,0.0,0.0
49042,39.8,27.9,4641,3511,0.0,0.0
49043,46.2,40.0,2056,1542,0.0,0.0
49045,39.2,28.3,5256,4079,0.0,0.0
49046,36.7,23.7,7080,5792,0.0,0.0
49047,37.3,28.7,14541,11380,0.0,0.0
49048,41.9,27.0,25067,19065,0.0,0.0
49050,38.6,27.2,1552,1211,0.0,0.0
49051,40.2,24.0,2340,1849,0.0,0.0
49052,40.5,25.6,1056,789,0.0,0.0
49053,37.6,21.6,7371,5525,0.0,0.0
49055,39.5,27.9,6211,4884,0.0,0.0
49056,41.1,32.6,3913,2980,0.0,0.0
49057,43.8,35.7,6226,4532,0.0,0.0
49058,36.9,24.7,19422,15086,0.0,0.0
49060,35.2,20.3,1847,1495,0.0,0.0
49061,35.5,24.9,1704,1366,0.0,0.0
49064,41.5,31.7,3854,2920,0.0,0.0
49065,38.1,25.2,6974,5405,0.0,0.0
49066,36.8,24.1,710,517,0.0,0.0
49067,36.3,25.0,4440,3500,0.0,0.0
49068,38.6,22.6,14325,11393,0.0,0.0
49070,37.7,27.0,2510,1907,0.0,0.0
49071,36.1,20.5,10748,7951,0.0,0.0
49072,37.1,24.2,3124,2436,0.0,0.0
49073,38.9,26.2,4874,3674,0.0,0.0
49074,36.9,45.4,185,181,0.0,0.0
49075,34.3,21.3,68,51,0.0,0.0
49076,37.2,22.9,4445,3586,0.0,0.0
49078,35.9,25.0,9483,7271,0.0,0.0
49079,38.1,25.5,13766,10708,0.0,0.0
49080,35.6,23.6,15994,12398,0.0,0.0
49082,34.8,26.2,6471,4833,0.0,0.0
49083,35.5,19.3,8022,6115,0.0,0.0
49084,37.3,27.2,87,73,0.0,0.0
49085,33.3,20.2,24047,19223,0.0,0.0
49087,35.7,19.2,6403,4848,0.0,0.0
49088,39.9,24.7,3704,2877,0.0,0.0
49089,36.5,28.8,1672,1304,0.0,0.0
49090,38.1,27.4,13286,10707,0.0,0.0
49091,38.8,27.5,19901,14742,0.0,0.0
49092,39.1,25.7,2024,1634,0.0,0.0
49093,38.3,25.0,18215,14032,0.0,0.0
49094,37.6,28.5,4091,3099,0.0,0.0
49095,35.7,25.4,2036,1629,0.0,0.0
49096,40.1,26.8,3161,2415,0.0,0.0
49097,38.0,22.5,11353,8652,0.0,0.0
49098,42.0,32.8,5739,4444,0.0,0.0
49099,38.4,26.6,5623,4362,0.0,0.0
49101,36.1,22.8,3132,2467,0.0,0.0
49102,38.4,26.3,1282,1008,0.0,0.0
49103,36.3,24.2,11508,9214,0.0,0.0
49104,29.7,18.1,380,373,0.0,0.0
49106,36.3,24.3,4822,3879,0.0,0.0
49107,37.7,25.9,10066,7922,0.0,0.0
