year,zcta5,measure,data_value,data_value_type,totalpopulation,totalpop18plus
2023,01264,Physical Inactivity,20.9,Crude prevalence,219,197
2023,01264,Obesity,27.7,Crude prevalence,219,197
2023,01266,Physical Inactivity,17.0,Crude prevalence,1208,1027
2023,01266,Obesity,28.3,Crude prevalence,1208,1027
2023,01267,Physical Inactivity,17.3,Crude prevalence,7876,6814
2023,01267,Obesity,26.0,Crude prevalence,7876,6814
2023,01270,Physical Inactivity,19.2,Crude prevalence,755,658
2023,01270,Obesity,30.9,Crude prevalence,755,658
2023,01301,Physical Inactivity,23.8,Crude prevalence,18042,14859
2023,01301,Obesity,27.4,Crude prevalence,18042,14859
2023,01330,Physical Inactivity,18.3,Crude prevalence,1500,1278
2023,01330,Obesity,24.5,Crude prevalence,1500,1278
2023,01331,Physical Inactivity,27.6,Crude prevalence,13656,10847
2023,01331,Obesity,35.2,Crude prevalence,13656,10847
2023,01337,Physical Inactivity,21.3,Crude prevalence,2562,2138
2023,01337,Obesity,25.9,Crude prevalence,2562,2138
2023,01338,Physical Inactivity,22.0,Crude prevalence,127,116
2023,01338,Obesity,26.1,Crude prevalence,127,116
2023,01339,Physical Inactivity,21.4,Crude prevalence,1487,1244
2023,01339,Obesity,25.8,Crude prevalence,1487,1244
2023,01340,Physical Inactivity,21.3,Crude prevalence,1803,1492
2023,01340,Obesity,26.0,Crude prevalence,1803,1492
2023,01341,Physical Inactivity,18.3,Crude prevalence,1539,1280
2023,01341,Obesity,24.9,Crude prevalence,1539,1280
2023,01342,Physical Inactivity,18.7,Crude prevalence,1538,1222
2023,01342,Obesity,25.1,Crude prevalence,1538,1222
2023,01343,Physical Inactivity,23.8,Crude prevalence,165,137
2023,01343,Obesity,32.6,Crude prevalence,165,137
2023,01344,Physical Inactivity,20.5,Crude prevalence,1665,1338
2023,01344,Obesity,26.0,Crude prevalence,1665,1338
2023,01346,Physical Inactivity,21.5,Crude prevalence,352,289
2023,01346,Obesity,26.0,Crude prevalence,352,289
2023,01347,Physical Inactivity,21.3,Crude prevalence,204,176
2023,01347,Obesity,25.5,Crude prevalence,204,176
2023,01349,Physical Inactivity,20.2,Crude prevalence,827,657
2023,01349,Obesity,26.7,Crude prevalence,827,657
2023,01350,Physical Inactivity,21.6,Crude prevalence,118,87
2023,01350,Obesity,26.5,Crude prevalence,118,87
2023,01351,Physical Inactivity,21.3,Crude prevalence,2293,1936
2023,01351,Obesity,26.6,Crude prevalence,2293,1936
2023,01354,Physical Inactivity,21.0,Crude prevalence,1546,1272
2023,01354,Obesity,25.9,Crude prevalence,1546,1272
2023,01355,Physical Inactivity,18.1,Crude prevalence,879,729
2023,01355,Obesity,24.4,Crude prevalence,879,729
2023,01360,Physical Inactivity,19.7,Crude prevalence,2871,2371
2023,01360,Obesity,25.0,Crude prevalence,2871,2371
2023,01364,Physical Inactivity,28.8,Crude prevalence,7665,6159
2023,01364,Obesity,30.3,Crude prevalence,7665,6159
2023,01366,Physical Inactivity,22.7,Crude prevalence,1187,976
2023,01366,Obesity,33.2,Crude prevalence,1187,976
2023,01367,Physical Inactivity,22.0,Crude prevalence,506,415
2023,01367,Obesity,25.2,Crude prevalence,506,415
2023,01368,Physical Inactivity,26.2,Crude prevalence,1283,1070
2023,01368,Obesity,34.4,Crude prevalence,1283,1070
2023,01370,Physical Inactivity,20.7,Crude prevalence,3932,3355
2023,01370,Obesity,25.7,Crude prevalence,3932,3355
2023,01373,Physical Inactivity,19.9,Crude prevalence,4526,3780
2023,01373,Obesity,25.5,Crude prevalence,4526,3780
2023,01375,Physical Inactivity,18.7,Crude prevalence,3639,3185
2023,01375,Obesity,23.6,Crude prevalence,3639,3185
2023,01376,Physical Inactivity,24.5,Crude prevalence,5324,4335
2023,01376,Obesity,28.0,Crude prevalence,5324,4335
2023,01378,Physical Inactivity,21.4,Crude prevalence,780,662
2023,01378,Obesity,25.8,Crude prevalence,780,662
2023,01379,Physical Inactivity,21.8,Crude prevalence,774,640
2023,01379,Obesity,26.6,Crude prevalence,774,640
2023,01380,Physical Inactivity,19.8,Crude prevalence,82,64
2023,01380,Obesity,25.7,Crude prevalence,82,64
2023,01420,Physical Inactivity,28.9,Crude prevalence,41940,32684
2023,01420,Obesity,35.6,Crude prevalence,41940,32684
2023,01430,Physical Inactivity,20.9,Crude prevalence,6303,4867
2023,01430,Obesity,32.6,Crude prevalence,6303,4867
2023,01431,Physical Inactivity,18.7,Crude prevalence,3193,2556
2023,01431,Obesity,26.2,Crude prevalence,3193,2556
2023,01432,Physical Inactivity,20.6,Crude prevalence,8221,6679
2023,01432,Obesity,26.4,Crude prevalence,8221,6679
2023,01434,Physical Inactivity,21.2,Crude prevalence,1652,1537
2023,01434,Obesity,33.2,Crude prevalence,1652,1537
2023,01436,Physical Inactivity,25.8,Crude prevalence,3208,2514
2023,01436,Obesity,34.2,Crude prevalence,3208,2514
2023,01438,Physical Inactivity,22.4,Crude prevalence,414,345
2023,01438,Obesity,32.0,Crude prevalence,414,345
2023,01440,Physical Inactivity,28.2,Crude prevalence,21577,17566
2023,01440,Obesity,35.7,Crude prevalence,21577,17566
2023,01450,Physical Inactivity,16.0,Crude prevalence,11298,8651
2023,01450,Obesity,24.2,Crude prevalence,11298,8651
2023,01451,Physical Inactivity,17.8,Crude prevalence,5461,4240
2023,01451,Obesity,28.8,Crude prevalence,5461,4240
2023,01452,Physical Inactivity,22.3,Crude prevalence,4328,3523
2023,01452,Obesity,32.7,Crude prevalence,4328,3523
2023,01453,Physical Inactivity,25.7,Crude prevalence,43752,34853
2023,01453,Obesity,34.0,Crude prevalence,43752,34853
2023,01460,Physical Inactivity,16.9,Crude prevalence,10141,7883
2023,01460,Obesity,23.9,Crude prevalence,10141,7883
2023,01462,Physical Inactivity,20.8,Crude prevalence,11818,9256
2023,01462,Obesity,31.4,Crude prevalence,11818,9256
2023,01463,Physical Inactivity,18.4,Crude prevalence,11621,9257
2023,01463,Obesity,25.9,Crude prevalence,11621,9257
2023,01464,Physical Inactivity,19.6,Crude prevalence,7427,6233
2023,01464,Obesity,27.0,Crude prevalence,7427,6233
2023,01468,Physical Inactivity,22.2,Crude prevalence,4309,3418
2023,01468,Obesity,32.9,Crude prevalence,4309,3418
2023,01469,Physical Inactivity,19.6,Crude prevalence,7055,5587
2023,01469,Obesity,26.9,Crude prevalence,7055,5587
2023,01473,Physical Inactivity,20.3,Crude prevalence,8213,6431
2023,01473,Obesity,31.6,Crude prevalence,8213,6431
2023,01474,Physical Inactivity,19.7,Crude prevalence,2072,1675
2023,01474,Obesity,26.7,Crude prevalence,2072,1675
2023,01475,Physical Inactivity,25.6,Crude prevalence,10304,8155
2023,01475,Obesity,34.9,Crude prevalence,10304,8155
2023,01501,Physical Inactivity,21.4,Crude prevalence,16731,13386
2023,01501,Obesity,31.0,Crude prevalence,16731,13386
2023,01503,Physical Inactivity,18.9,Crude prevalence,3158,2577
2023,01503,Obesity,29.9,Crude prevalence,3158,2577
2023,01504,Physical Inactivity,21.2,Crude prevalence,9208,7377
2023,01504,Obesity,32.0,Crude prevalence,9208,7377
2023,01505,Physical Inactivity,18.8,Crude prevalence,4849,3836
2023,01505,Obesity,30.5,Crude prevalence,4849,3836
2023,01506,Physical Inactivity,26.0,Crude prevalence,3439,2808
2023,01506,Obesity,34.7,Crude prevalence,3439,2808
2023,01507,Physical Inactivity,20.7,Crude prevalence,13315,10498
2023,01507,Obesity,31.2,Crude prevalence,13315,10498
2023,01510,Physical Inactivity,23.6,Crude prevalence,15428,12422
2023,01510,Obesity,33.6,Crude prevalence,15428,12422
2023,01515,Physical Inactivity,22.2,Crude prevalence,2224,1772
2023,01515,Obesity,32.1,Crude prevalence,2224,1772
2023,01516,Physical Inactivity,18.9,Crude prevalence,8962,7072
2023,01516,Obesity,31.2,Crude prevalence,8962,7072
2023,01518,Physical Inactivity,19.5,Crude prevalence,3176,2364
2023,01518,Obesity,31.3,Crude prevalence,3176,2364
2023,01519,Physical Inactivity,18.4,Crude prevalence,7254,5603
2023,01519,Obesity,30.0,Crude prevalence,7254,5603
2023,01520,Physical Inactivity,18.1,Crude prevalence,16394,12450
2023,01520,Obesity,29.5,Crude prevalence,16394,12450
2023,01521,Physical Inactivity,23.4,Crude prevalence,2603,2133
2023,01521,Obesity,32.2,Crude prevalence,2603,2133
2023,01522,Physical Inactivity,17.4,Crude prevalence,3464,2650
2023,01522,Obesity,30.2,Crude prevalence,3464,2650
2023,01523,Physical Inactivity,19.0,Crude prevalence,8377,6828
2023,01523,Obesity,30.8,Crude prevalence,8377,6828
2023,01524,Physical Inactivity,22.4,Crude prevalence,6621,5401
2023,01524,Obesity,32.0,Crude prevalence,6621,5401
2023,01525,Physical Inactivity,18.9,Crude prevalence,73,60
2023,01525,Obesity,25.3,Crude prevalence,73,60
2023,01527,Physical Inactivity,22.0,Crude prevalence,13799,11251
2023,01527,Obesity,31.7,Crude prevalence,13799,11251
2023,01529,Physical Inactivity,21.8,Crude prevalence,3174,2504
2023,01529,Obesity,32.9,Crude prevalence,3174,2504
2023,01531,Physical Inactivity,23.2,Crude prevalence,996,799
2023,01531,Obesity,33.1,Crude prevalence,996,799
2023,01532,Physical Inactivity,17.5,Crude prevalence,15741,12154
2023,01532,Obesity,28.0,Crude prevalence,15741,12154
2023,01534,Physical Inactivity,23.4,Crude prevalence,6233,4933
2023,01534,Obesity,32.7,Crude prevalence,6233,4933
2023,01535,Physical Inactivity,24.6,Crude prevalence,4735,3834
2023,01535,Obesity,33.9,Crude prevalence,4735,3834
2023,01536,Physical Inactivity,20.0,Crude prevalence,7514,5903
2023,01536,Obesity,30.2,Crude prevalence,7514,5903
2023,01537,Physical Inactivity,22.2,Crude prevalence,2141,1808
2023,01537,Obesity,32.5,Crude prevalence,2141,1808
2023,01540,Physical Inactivity,23.5,Crude prevalence,11032,8925
2023,01540,Obesity,33.5,Crude prevalence,11032,8925
2023,01541,Physical Inactivity,17.5,Crude prevalence,3495,2834
2023,01541,Obesity,30.1,Crude prevalence,3495,2834
2023,01542,Physical Inactivity,22.9,Crude prevalence,2366,1894
2023,01542,Obesity,32.1,Crude prevalence,2366,1894
2023,01543,Physical Inactivity,19.2,Crude prevalence,9049,6812
2023,01543,Obesity,31.1,Crude prevalence,9049,6812
2023,01545,Physical Inactivity,18.8,Crude prevalence,38316,29602
2023,01545,Obesity,26.6,Crude prevalence,38316,29602
2023,01550,Physical Inactivity,32.1,Crude prevalence,17740,13994
2023,01550,Obesity,37.3,Crude prevalence,17740,13994
2023,01560,Physical Inactivity,20.3,Crude prevalence,4896,3681
2023,01560,Obesity,28.8,Crude prevalence,4896,3681
2023,01562,Physical Inactivity,24.6,Crude prevalence,11992,9819
2023,01562,Obesity,33.5,Crude prevalence,11992,9819
2023,01564,Physical Inactivity,18.8,Crude prevalence,7985,6455
2023,01564,Obesity,30.3,Crude prevalence,7985,6455
2023,01566,Physical Inactivity,19.4,Crude prevalence,6691,5292
2023,01566,Obesity,30.2,Crude prevalence,6691,5292
2023,01568,Physical Inactivity,17.5,Crude prevalence,7900,6119
2023,01568,Obesity,29.9,Crude prevalence,7900,6119
2023,01569,Physical Inactivity,20.7,Crude prevalence,14193,11384
2023,01569,Obesity,31.5,Crude prevalence,14193,11384
2023,01570,Physical Inactivity,27.3,Crude prevalence,17776,14479
2023,01570,Obesity,35.2,Crude prevalence,17776,14479
2023,01571,Physical Inactivity,24.1,Crude prevalence,11921,9509
2023,01571,Obesity,33.4,Crude prevalence,11921,9509
2023,01581,Physical Inactivity,18.9,Crude prevalence,21567,16240
2023,01581,Obesity,26.7,Crude prevalence,21567,16240
2023,01583,Physical Inactivity,21.7,Crude prevalence,7652,6378
2023,01583,Obesity,31.1,Crude prevalence,7652,6378
2023,01585,Physical Inactivity,25.6,Crude prevalence,4899,4035
2023,01585,Obesity,33.7,Crude prevalence,4899,4035
2023,01588,Physical Inactivity,22.2,Crude prevalence,10106,8030
2023,01588,Obesity,32.7,Crude prevalence,10106,8030
2023,01590,Physical Inactivity,18.5,Crude prevalence,9279,7320
2023,01590,Obesity,30.7,Crude prevalence,9279,7320
2023,01602,Physical Inactivity,23.1,Crude prevalence,25382,20816
2023,01602,Obesity,31.9,Crude prevalence,25382,20816
2023,01603,Physical Inactivity,32.5,Crude prevalence,22417,17782
2023,01603,Obesity,36.4,Crude prevalence,22417,17782
2023,01604,Physical Inactivity,28.7,Crude prevalence,41301,32926
2023,01604,Obesity,35.7,Crude prevalence,41301,32926
2023,01605,Physical Inactivity,31.0,Crude prevalence,29218,21985
2023,01605,Obesity,37.2,Crude prevalence,29218,21985
2023,01606,Physical Inactivity,24.6,Crude prevalence,21651,17619
2023,01606,Obesity,33.6,Crude prevalence,21651,17619
2023,01607,Physical Inactivity,28.9,Crude prevalence,9378,7283
2023,01607,Obesity,37.4,Crude prevalence,9378,7283
2023,01608,Physical Inactivity,31.7,Crude prevalence,4996,4054
2023,01608,Obesity,36.8,Crude prevalence,4996,4054
2023,01609,Physical Inactivity,27.8,Crude prevalence,23870,20727
2023,01609,Obesity,33.2,Crude prevalence,23870,20727
2023,01610,Physical Inactivity,34.2,Crude prevalence,28717,22708
2023,01610,Obesity,37.1,Crude prevalence,28717,22708
2023,01611,Physical Inactivity,22.2,Crude prevalence,2277,1833
2023,01611,Obesity,32.5,Crude prevalence,2277,1833
2023,01612,Physical Inactivity,17.6,Crude prevalence,5051,4072
2023,01612,Obesity,28.4,Crude prevalence,5051,4072
2023,01701,Physical Inactivity,17.9,Crude prevalence,33005,26640
2023,01701,Obesity,24.2,Crude prevalence,33005,26640
2023,01702,Physical Inactivity,25.3,Crude prevalence,39515,31031
2023,01702,Obesity,28.2,Crude prevalence,39515,31031
2023,01718,Physical Inactivity,17.2,Crude prevalence,688,520
2023,01718,Obesity,22.8,Crude prevalence,688,520
2023,01719,Physical Inactivity,15.6,Crude prevalence,5506,4350
2023,01719,Obesity,21.8,Crude prevalence,5506,4350
2023,01720,Physical Inactivity,16.1,Crude prevalence,23232,17593
2023,01720,Obesity,21.7,Crude prevalence,23232,17593
2023,01721,Physical Inactivity,17.0,Crude prevalence,18832,14763
2023,01721,Obesity,24.0,Crude prevalence,18832,14763
2023,01730,Physical Inactivity,16.6,Crude prevalence,14566,11271
2023,01730,Obesity,22.3,Crude prevalence,14566,11271
2023,01731,Physical Inactivity,12.6,Crude prevalence,1555,955
2023,01731,Obesity,24.5,Crude prevalence,1555,955
2023,01740,Physical Inactivity,14.3,Crude prevalence,5665,4146
